mlb_id,mlb_name,mlb_pos,bats,throws,birth_date,bp_id,bref_id,bref_name,cbs_id,cbs_name,cbs_pos,espn_id,espn_name,espn_pos,fg_id,fg_name,fg_pos,lahman_id,nfbc_id,nfbc_name,nfbc_pos,retro_id,retro_name,yahoo_id,yahoo_name,ottoneu_id,ottoneu_name,ottoneu_pos,rotowire_id,rotowire_name,rotowire_pos,
664167,Blake Trahan,SS,R,R,9/5/1993,107040,trahabl01,Blake Trahan,2211768,Blake Trahan,SS,35061,Blake Trahan,SS,17588,Blake Trahan,2B/SS,trahabl01,11145,Blake Trahan,SS,trahb001,Blake Trahan,11145,Blake Trahan,22703,Blake Trahan,2B/SS,13849,Blake Trahan,SS,
595014,Blake Treinen,P,R,R,6/30/1988,68804,treinbl01,Blake Treinen,1953420,Blake Treinen,RP,32185,Blake Treinen,RP,12572,Blake Treinen,P,treinbl01,9672,Blake Treinen,P,treib001,Blake Treinen,9672,Blake Treinen,18414,Blake Treinen,RP,12810,Blake Treinen,P,
686796,Blake Walston,P,L,L,6/28/2001,,,,,,,,,,,,,,11727,Blake Walston,P,,,,,,,,,,,
502028,Blake Wood,P,R,R,8/8/1985,50095,woodbl01,Blake Wood,1725412,Blake Wood,RP,30392,Blake Wood,RP,1345,Blake Wood,P,woodbl01,8730,Blake Wood,P,woodb004,Blake Wood,8730,Blake Wood,5533,Blake Wood,RP,9363,Blake Wood,P,
666182,Bo Bichette,SS,R,R,3/5/1998,107491,bichebo01,Bo Bichette,2447495,Bo Bichette,SS,38904,Bo Bichette,SS,19612,Bo Bichette,SS,,10766,Bo Bichette,SS,,,10766,,23767,Bo Bichette,SS,14310,,,
666310,Bo Naylor,C,L,R,2/21/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,
544759,Bo Schultz,P,R,R,9/25/1985,58646,schulbo02,Bo Schultz,1962289,Bo Schultz,RP,32455,Bo Schultz,RP,5028,Bo Schultz,P,schulbo02,9646,Bo Schultz,P,schub001,Bo Schultz,9646,Bo Schultz,16792,Bo Schultz,RP,13235,Bo Schultz,P,
649963,Bo Takahashi,P,R,R,1/23/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
656252,Bobby Bradley,1B,L,R,5/29/1996,103745,bradlbo01,Bobby Bradley,2165931,Bobby Bradley,DH,33858,Bobby Bradley,1B,17278,Bobby Bradley,1B/DH,,10461,Bobby Bradley,1B,,,10461,Bobby Bradley,15450,Bobby Bradley,1B,13425,,,
666915,Bobby Dalbec,3B,R,R,6/29/1995,,dalbebo01,Bobby Dalbec,2506932,Bobby Dalbec,1B,39382,Bobby Dalbec,3B,,,,,,,,,,,,,,,,,,
